epoch,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc
1,0.0,0.005,0.515,0.265,0.075,0.015,0.005,0.005,0.105,0.055
2,0.0,0.015,0.54,0.265,0.11,0.02,0.02,0.015,0.1,0.045
3,0.0,0.0,0.47,0.26,0.115,0.035,0.025,0.01,0.085,0.055
4,0.0,0.005,0.515,0.24,0.09,0.03,0.04,0.01,0.09,0.06
5,0.0,0.01,0.545,0.25,0.105,0.035,0.025,0.025,0.11,0.07
6,0.0,0.005,0.52,0.275,0.13,0.025,0.02,0.02,0.095,0.07
7,0.0,0.01,0.545,0.245,0.11,0.025,0.025,0.01,0.115,0.065
8,0.0,0.01,0.505,0.285,0.13,0.035,0.025,0.02,0.12,0.04
9,0.0,0.015,0.575,0.27,0.1,0.03,0.03,0.015,0.115,0.065
10,0.0,0.01,0.525,0.265,0.12,0.035,0.025,0.01,0.11,0.075
11,0.0,0.01,0.495,0.28,0.11,0.03,0.03,0.015,0.11,0.055
12,0.0,0.005,0.49,0.205,0.105,0.025,0.015,0.01,0.09,0.065
13,0.0,0.005,0.52,0.24,0.095,0.025,0.02,0.005,0.09,0.06
14,0.0,0.005,0.505,0.245,0.105,0.02,0.01,0.015,0.09,0.055
15,0.0,0.005,0.525,0.235,0.09,0.02,0.025,0.005,0.1,0.035
16,0.0,0.005,0.56,0.265,0.07,0.025,0.02,0.01,0.095,0.045
17,0.0,0.005,0.5,0.255,0.1,0.025,0.02,0.005,0.105,0.05
18,0.0,0.005,0.465,0.26,0.09,0.025,0.02,0.01,0.1,0.055
19,0.0,0.005,0.51,0.245,0.11,0.025,0.015,0.01,0.095,0.06
20,0.0,0.005,0.5,0.275,0.09,0.025,0.015,0.005,0.09,0.06
21,0.0,0.0,0.505,0.265,0.085,0.03,0.01,0.005,0.085,0.04
22,0.0,0.005,0.435,0.27,0.11,0.025,0.025,0.02,0.105,0.055
23,0.0,0.005,0.505,0.24,0.105,0.02,0.02,0.005,0.105,0.055
24,0.0,0.005,0.45,0.25,0.095,0.025,0.03,0.01,0.115,0.045
25,0.0,0.005,0.485,0.195,0.085,0.025,0.025,0.01,0.095,0.045
26,0.0,0.005,0.495,0.24,0.095,0.02,0.025,0.01,0.1,0.05
27,0.0,0.005,0.53,0.26,0.095,0.03,0.02,0.01,0.1,0.05
28,0.0,0.005,0.51,0.265,0.09,0.03,0.035,0.005,0.125,0.055
29,0.0,0.005,0.56,0.27,0.09,0.03,0.015,0.015,0.11,0.05
30,0.0,0.005,0.52,0.21,0.095,0.03,0.02,0.015,0.095,0.05
31,0.0,0.005,0.53,0.245,0.105,0.025,0.005,0.01,0.115,0.06
32,0.0,0.005,0.515,0.28,0.1,0.03,0.025,0.01,0.1,0.055
33,0.0,0.005,0.525,0.27,0.115,0.025,0.04,0.015,0.095,0.045
34,0.0,0.005,0.48,0.255,0.105,0.025,0.035,0.02,0.09,0.04
35,0.0,0.005,0.52,0.195,0.125,0.025,0.015,0.005,0.115,0.055
36,0.0,0.005,0.54,0.215,0.095,0.025,0.025,0.005,0.115,0.055
37,0.0,0.005,0.505,0.275,0.09,0.025,0.025,0.015,0.105,0.065
38,0.0,0.005,0.49,0.225,0.09,0.025,0.02,0.01,0.11,0.055
39,0.0,0.005,0.485,0.26,0.085,0.025,0.02,0.01,0.11,0.06
40,0.0,0.005,0.535,0.285,0.085,0.025,0.005,0.005,0.105,0.05
